trueCardA,trueCardB,trueCardX,trueJaccardIdx,trueLogRatio,inclExclMinA,inclExclM3sA,inclExclM2sA,inclExclM1sA,inclExclMedA,inclExclP1sA,inclExclP2sA,inclExclP3sA,inclExclMaxA,inclExclMeanA,inclExclStdDevA,inclExclRMSEA,inclExclMinB,inclExclM3sB,inclExclM2sB,inclExclM1sB,inclExclMedB,inclExclP1sB,inclExclP2sB,inclExclP3sB,inclExclMaxB,inclExclMeanB,inclExclStdDevB,inclExclRMSEB,inclExclMinX,inclExclM3sX,inclExclM2sX,inclExclM1sX,inclExclMedX,inclExclP1sX,inclExclP2sX,inclExclP3sX,inclExclMaxX,inclExclMeanX,inclExclStdDevX,inclExclRMSEX,inclExclMinJaccardIdx,inclExclM3sJaccardIdx,inclExclM2sJaccardIdx,inclExclM1sJaccardIdx,inclExclMedJaccardIdx,inclExclP1sJaccardIdx,inclExclP2sJaccardIdx,inclExclP3sJaccardIdx,inclExclMaxJaccardIdx,inclExclMeanJaccardIdx,inclExclStdDevJaccardIdx,inclExclRMSEJaccardIdx,maxLikeMinA,maxLikeM3sA,maxLikeM2sA,maxLikeM1sA,maxLikeMedA,maxLikeP1sA,maxLikeP2sA,maxLikeP3sA,maxLikeMaxA,maxLikeMeanA,maxLikeStdDevA,maxLikeRMSEA,maxLikeMinB,maxLikeM3sB,maxLikeM2sB,maxLikeM1sB,maxLikeMedB,maxLikeP1sB,maxLikeP2sB,maxLikeP3sB,maxLikeMaxB,maxLikeMeanB,maxLikeStdDevB,maxLikeRMSEB,maxLikeMinX,maxLikeM3sX,maxLikeM2sX,maxLikeM1sX,maxLikeMedX,maxLikeP1sX,maxLikeP2sX,maxLikeP3sX,maxLikeMaxX,maxLikeMeanX,maxLikeStdDevX,maxLikeRMSEX,maxLikeMinJaccardIdx,maxLikeM3sJaccardIdx,maxLikeM2sJaccardIdx,maxLikeM1sJaccardIdx,maxLikeMedJaccardIdx,maxLikeP1sJaccardIdx,maxLikeP2sJaccardIdx,maxLikeP3sJaccardIdx,maxLikeMaxJaccardIdx,maxLikeMeanJaccardIdx,maxLikeStdDevJaccardIdx,maxLikeRMSEJaccardIdx,improvementStdevA,improvementRmseA,improvementStdevB,improvementRmseB,improvementStdevX,improvementRmseX,avgNumIterations,maxNumIterations
1598728349,251188153,2742179,0.00148013,0.803776,-0.00423074,-0.00348965,-0.00228152,-0.00113837,-1.1476e-05,0.00114761,0.00238287,0.00341999,0.00379452,1.28926e-05,0.00116354,0.00116361,-0.013302,-0.0112815,-0.00721559,-0.00371992,4.33264e-05,0.00372778,0.00738449,0.0107753,0.013625,3.03478e-05,0.00369822,0.00369835,-1,-0.998251,-0.670718,-0.323689,-0.00332658,0.322541,0.641899,1.01854,1.23061,-0.00243745,0.326426,0.326435,-1,-0.998254,-0.671033,-0.323533,-0.00311329,0.323096,0.642616,1.0219,1.23869,-0.00228853,0.326902,0.32691,-0.0034435,-0.00294678,-0.00203435,-0.00102227,3.03113e-06,0.00103084,0.00210476,0.00313763,0.00380671,9.25517e-06,0.00103661,0.00103665,-0.00573824,-0.00407869,-0.00293675,-0.00148448,-3.8312e-05,0.00149057,0.00306627,0.0104178,0.0129191,6.6926e-06,0.00158027,0.00158028,-1,-0.998251,-0.201139,-0.101488,0.00214488,0.10515,0.205129,0.296235,0.357102,-0.000372774,0.112112,0.112112,-1,-0.998254,-0.201628,-0.101265,0.00244052,0.106411,0.205592,0.297536,0.358532,-0.000360372,0.112245,0.112246,1.12245,1.12247,2.34025,2.34031,2.91161,2.91168,7.0384,122
13049219720,5945604476,103608860,0.00542499,0.341389,-0.00524053,-0.00430043,-0.00295215,-0.00140333,-1.68289e-05,0.00139538,0.00278772,0.0041186,0.00548033,-2.28466e-05,0.00141681,0.00141699,-0.0079545,-0.00706145,-0.00466898,-0.00235312,-8.59197e-05,0.00223575,0.00462844,0.00636404,0.00781756,-4.70229e-05,0.0023017,0.00230218,-0.385462,-0.330028,-0.236668,-0.115752,0.00278795,0.124153,0.236488,0.365197,0.432068,0.00366169,0.119715,0.119771,-0.38753,-0.33099,-0.237676,-0.116969,0.00289068,0.124901,0.238602,0.368242,0.437405,0.00375066,0.12037,0.120429,-0.00366173,-0.00318345,-0.00215101,-0.00109032,2.30899e-06,0.00110089,0.00207927,0.00316696,0.00339179,-6.25863e-06,0.00108644,0.00108646,-0.00420579,-0.0037929,-0.00243624,-0.00123485,-3.62844e-05,0.00121904,0.00235748,0.00343137,0.00370749,-1.22932e-05,0.00121495,0.00121501,-0.148746,-0.118891,-0.077996,-0.0380004,0.00184413,0.0413019,0.082187,0.116422,0.127691,0.00168779,0.0401135,0.040149,-0.149537,-0.119789,-0.0784088,-0.0380373,0.00200797,0.0413349,0.0831514,0.118209,0.129385,0.00169518,0.0403151,0.0403507,1.30408,1.30423,1.89449,1.89478,2.9844,2.98316,5.23432,18
144199,1608,3457,0.0231603,1.95268,-0.00252492,-0.00231255,-0.00145578,-0.000709057,6.48725e-06,0.000712269,0.00143233,0.00213039,0.00241329,-7.71937e-06,0.000711769,0.00071181,-0.0329088,-0.0303625,-0.0190578,-0.00971203,3.69366e-05,0.00969457,0.0189908,0.0278746,0.0378356,-4.86762e-05,0.00964283,0.00964296,-0.0162467,-0.0130116,-0.00876857,-0.00439956,3.82989e-05,0.00458096,0.00882137,0.014355,0.0159446,4.08139e-05,0.00450355,0.00450374,-0.0163276,-0.0130604,-0.0090867,-0.00454319,4.84847e-05,0.00467614,0.00932119,0.0146595,0.0161099,4.87178e-05,0.00464161,0.00464186,-0.00264664,-0.00226711,-0.00143189,-0.000707486,2.60534e-06,0.000700454,0.001391,0.00209192,0.00231184,-7.9986e-06,0.000706027,0.000706072,-0.0251236,-0.0220212,-0.0139769,-0.00724573,-3.86709e-05,0.00733891,0.0144737,0.0210509,0.0238653,-7.69971e-06,0.00715176,0.00715177,-0.0108558,-0.0101281,-0.00668706,-0.0034145,5.24799e-05,0.0034761,0.00664194,0.00971147,0.011426,2.08983e-05,0.00336962,0.00336969,-0.0115498,-0.0103945,-0.00687993,-0.00349168,0.000105374,0.00353087,0.00696379,0.0101902,0.0108581,2.88487e-05,0.00348388,0.003484,1.00813,1.00813,1.34832,1.34833,1.33652,1.33655,3.77048,28
36085381,8525744,3516662,0.0730693,0.626599,-0.00475331,-0.00391323,-0.00260972,-0.00139701,-5.59808e-05,0.00124979,0.00256812,0.00380939,0.00476322,-6.39501e-05,0.00131886,0.00132041,-0.01182,-0.00956125,-0.00676556,-0.00335824,-7.72477e-05,0.0033017,0.00633123,0.00951967,0.0109918,-9.05988e-05,0.00329788,0.00329913,-0.0263967,-0.0224798,-0.0145638,-0.00753689,5.67433e-05,0.00782942,0.0157262,0.0223704,0.0242042,0.000165275,0.00764751,0.0076493,-0.0273626,-0.0244097,-0.0158988,-0.00805343,0.000148999,0.0085544,0.0169577,0.0243312,0.0265666,0.000222255,0.00821875,0.00822176,-0.00377088,-0.00333759,-0.00229342,-0.00116445,-1.89042e-05,0.00104796,0.00214967,0.00319773,0.00383165,-4.97621e-05,0.00110723,0.00110835,-0.0084964,-0.00597693,-0.00414997,-0.00209599,-1.24911e-05,0.00195697,0.00395434,0.00580135,0.00709877,-4.66204e-05,0.00202224,0.00202278,-0.0146907,-0.0118369,-0.00839899,-0.00440052,3.30727e-06,0.00440228,0.00898724,0.0137123,0.0163888,5.76886e-05,0.00439936,0.00439974,-0.0162579,-0.012368,-0.00891991,-0.00455682,0.000118917,0.00466033,0.00948912,0.0142132,0.0170365,0.000100449,0.00462759,0.00462868,1.19113,1.19133,1.63081,1.63099,1.73832,1.73858,3.30303,7
652906563,42736075,23996891,0.0333457,1.18406,-0.00396267,-0.00321739,-0.0021692,-0.00108176,3.56338e-05,0.00111918,0.00222642,0.00301411,0.00378571,1.92485e-05,0.0011012,0.00110137,-0.0206078,-0.0172734,-0.0117089,-0.00596691,-0.000174046,0.00583303,0.0110255,0.0154044,0.0222366,-0.000155298,0.0057373,0.0057394,-0.0369003,-0.0264902,-0.0191829,-0.0102235,0.000290823,0.0101508,0.020573,0.030553,0.0337964,0.000247782,0.0100908,0.0100939,-0.0389408,-0.0275089,-0.0200312,-0.0105544,0.000262451,0.0105418,0.0213011,0.0313515,0.0368258,0.00023526,0.0104302,0.0104329,-0.0040902,-0.00311086,-0.00205004,-0.00102643,5.05624e-05,0.00107088,0.00209544,0.00289479,0.00356958,2.87258e-05,0.001044,0.0010444,-0.012034,-0.0103381,-0.00722232,-0.00351473,1.77477e-05,0.00340078,0.00694563,0.0102152,0.0117729,-3.3769e-05,0.00348181,0.00348197,-0.0191548,-0.0182103,-0.0118553,-0.00603901,0.000112401,0.00605245,0.0122149,0.0181797,0.021494,3.03911e-05,0.00606,0.00606008,-0.0202281,-0.0185005,-0.012374,-0.00616898,-5.26796e-05,0.00610801,0.0124591,0.0183286,0.0209783,6.68832e-06,0.0062089,0.0062089,1.05479,1.05455,1.64779,1.64832,1.66515,1.66563,3.60486,11
74772,2617,235,0.00302741,1.45594,-0.00237034,-0.00217812,-0.00146427,-0.000750269,-7.10466e-06,0.000710615,0.00138014,0.00210334,0.00260645,-1.37405e-05,0.000727069,0.000727199,-0.017317,-0.0160461,-0.0111634,-0.00514947,4.52022e-05,0.00515021,0.0101643,0.0162454,0.0176733,-5.56734e-05,0.00524004,0.00524034,-0.187953,-0.184673,-0.113249,-0.0567587,-0.00045352,0.0569538,0.123786,0.172702,0.197899,0.000397353,0.0576692,0.0576705,-0.188609,-0.184485,-0.113113,-0.0569486,-0.000616625,0.0572607,0.12478,0.173409,0.197323,0.000420367,0.0578259,0.0578274,-0.00234744,-0.00213606,-0.00142185,-0.000739403,-5.34301e-06,0.000700221,0.00136508,0.00209977,0.0024737,-1.2863e-05,0.000716939,0.000717055,-0.0122879,-0.00929585,-0.00657292,-0.00324756,1.73851e-05,0.00314293,0.00613345,0.00895377,0.0120184,-2.69576e-05,0.00318413,0.00318425,-0.129798,-0.0945292,-0.0678249,-0.0345452,-0.000719705,0.0348386,0.0706874,0.0999575,0.127816,0.00020268,0.0345451,0.0345457,-0.130357,-0.0946154,-0.0677151,-0.0344569,-0.000437197,0.0347236,0.0713247,0.100269,0.129284,0.000218965,0.0346437,0.0346444,1.01413,1.01415,1.64567,1.64571,1.66939,1.6694,4.48215,60
148568,12597,7147,0.0424628,1.07166,-0.00282453,-0.00228698,-0.00162131,-0.000779087,-8.28751e-06,0.000757128,0.001539,0.00240562,0.00278437,-1.07328e-05,0.000774139,0.000774214,-0.0120136,-0.0107954,-0.00717869,-0.00371594,3.3822e-05,0.00359726,0.00681824,0.00973832,0.0142416,-3.75169e-05,0.00354076,0.00354096,-0.0244772,-0.0172218,-0.0113236,-0.00597816,5.59414e-05,0.0062268,0.011958,0.0176909,0.0199686,7.91812e-05,0.00599516,0.00599569,-0.0248771,-0.0187814,-0.0118892,-0.0062841,5.05246e-05,0.0063994,0.0125214,0.0181582,0.0216545,8.99554e-05,0.00625931,0.00625996,-0.0026172,-0.00213377,-0.00146989,-0.000751787,3.16328e-06,0.000715565,0.00152079,0.00214426,0.00247274,-8.75356e-06,0.000733946,0.000733998,-0.00901767,-0.00757197,-0.00500805,-0.00246963,-8.00378e-06,0.00243102,0.0046172,0.00727822,0.00820533,-1.70953e-05,0.00245261,0.00245267,-0.0167208,-0.0117291,-0.00824139,-0.00401378,3.98292e-06,0.00418371,0.00841992,0.012417,0.015337,3.87234e-05,0.00410984,0.00411003,-0.0173724,-0.0127977,-0.00857061,-0.00414403,-2.64462e-05,0.00425963,0.00877089,0.0130598,0.0169323,4.6942e-05,0.00426398,0.00426424,1.05476,1.05479,1.44367,1.44372,1.45873,1.4588,3.21842,18
3837563445,277467992,104644949,0.0247993,1.14084,-0.00404031,-0.00321963,-0.00211868,-0.00109945,2.52459e-05,0.00111621,0.00223859,0.00326629,0.00431819,3.52861e-05,0.0011063,0.00110686,-0.0176048,-0.0165133,-0.0107808,-0.00542087,7.19712e-05,0.00565645,0.0108365,0.0166743,0.0210852,8.60254e-05,0.00548096,0.00548163,-0.051288,-0.0429677,-0.0277125,-0.0145652,-0.000287275,0.014166,0.0278174,0.0431747,0.0470253,-0.000199572,0.0142749,0.0142763,-0.0524392,-0.0437127,-0.0285833,-0.0150698,-0.000274127,0.014501,0.0285562,0.0437108,0.0480611,-0.000226282,0.0146591,0.0146608,-0.0034686,-0.00295425,-0.00198251,-0.00103341,3.37775e-05,0.00107629,0.0021556,0.00315771,0.00382626,3.12501e-05,0.0010429,0.00104337,-0.00992832,-0.00911684,-0.00613934,-0.00299277,-0.000105202,0.00327062,0.00637701,0.00926638,0.0101502,4.68227e-05,0.00313362,0.00313397,-0.0263968,-0.0238178,-0.0158833,-0.00801043,-4.7233e-05,0.00787212,0.0153606,0.0245049,0.0306651,-9.57906e-05,0.00787393,0.00787451,-0.0275351,-0.0249172,-0.0163912,-0.00823407,-0.000119146,0.00807405,0.0156781,0.0251771,0.030587,-0.000122896,0.00806926,0.0080702,1.06079,1.06085,1.74908,1.7491,1.81293,1.81298,3.75668,17
84256,1624,402,0.00465914,1.71501,-0.00272176,-0.00213128,-0.001453,-0.000719019,1.90291e-05,0.00074036,0.0014558,0.00203384,0.00238664,1.29682e-05,0.000721838,0.000721954,-0.0278321,-0.0212595,-0.0147074,-0.00703248,0.000272532,0.00741508,0.0138536,0.0193455,0.0230852,0.000134014,0.00714278,0.00714404,-0.0933222,-0.0791623,-0.0561871,-0.0298234,-0.00103321,0.0284979,0.0582206,0.0836604,0.117343,-0.000570604,0.0286857,0.0286914,-0.0935928,-0.0791056,-0.0563724,-0.0298679,-0.00112089,0.028806,0.0579454,0.0841712,0.118268,-0.000579405,0.0288057,0.0288115,-0.00245908,-0.00219487,-0.00149347,-0.000710693,1.73079e-05,0.000721255,0.00145187,0.00196059,0.00226949,1.09954e-05,0.000715278,0.000715363,-0.0191687,-0.0143087,-0.00884858,-0.00448114,0.000140661,0.00459099,0.00884339,0.0124925,0.0132085,3.96447e-05,0.004489,0.00448918,-0.0558419,-0.0478159,-0.0352003,-0.0179842,-0.00045975,0.0178862,0.0351677,0.0578921,0.072249,-0.000143193,0.0178822,0.0178828,-0.0561388,-0.0475939,-0.035353,-0.0180139,-0.000482104,0.0179048,0.0349656,0.0578623,0.0715518,-0.000152487,0.0179528,0.0179535,1.00917,1.00921,1.59117,1.59139,1.60415,1.60441,4.21242,17
22160727,6987227,586521,0.0197253,0.501279,-0.00451422,-0.00373825,-0.00259717,-0.00128493,-6.93467e-05,0.00124258,0.00251524,0.00378661,0.00425769,-5.03023e-05,0.00127201,0.00127301,-0.0116346,-0.00800063,-0.0054188,-0.00271505,-0.000113501,0.00266412,0.00572872,0.00747587,0.0112835,-5.58506e-05,0.00273388,0.00273445,-0.109552,-0.0890012,-0.0620059,-0.0299277,0.000719722,0.0305081,0.0618297,0.0911687,0.12099,0.000370015,0.0306998,0.030702,-0.111997,-0.0900478,-0.0632591,-0.0305043,0.000806969,0.0310749,0.0628302,0.0933619,0.124141,0.000432262,0.0312954,0.0312984,-0.00319539,-0.00283578,-0.0021242,-0.00105005,-5.26443e-05,0.000966682,0.00207177,0.00313286,0.00412269,-4.35766e-05,0.00103324,0.00103416,-0.00473375,-0.00410597,-0.00293399,-0.00148194,-6.52997e-05,0.00145289,0.00289434,0.00453651,0.00588934,-3.71523e-05,0.00145312,0.0014536,-0.0451053,-0.0387599,-0.027419,-0.0132697,0.000258948,0.0136813,0.0271065,0.0390496,0.0528306,0.00015061,0.0135724,0.0135732,-0.0438937,-0.0390047,-0.0278103,-0.0133976,0.000276915,0.0138306,0.0275957,0.039123,0.0529628,0.000192217,0.0137949,0.0137962,1.23109,1.23095,1.88139,1.88116,2.26193,2.26196,4.25263,6
48156078,4333904,1313150,0.0244066,1.04577,-0.00391386,-0.00335917,-0.00229376,-0.00112784,2.24252e-05,0.0011507,0.00221099,0.00348382,0.00406393,5.65093e-06,0.00112705,0.00112707,-0.0163093,-0.0142806,-0.0101257,-0.00500799,-4.93405e-05,0.00518485,0.00996274,0.0146072,0.0179979,2.65264e-05,0.00504488,0.00504495,-0.0538331,-0.0449951,-0.0327915,-0.0165735,-0.000108738,0.0161572,0.0328611,0.0451761,0.0569328,-0.000120391,0.0163074,0.0163079,-0.05582,-0.0459666,-0.0339029,-0.0171765,2.63884e-05,0.0165006,0.0332225,0.0457728,0.0592612,-0.000116647,0.0167594,0.0167598,-0.00344553,-0.00302855,-0.00208664,-0.00103953,2.93771e-05,0.00103592,0.00199398,0.00306666,0.00394417,6.76817e-06,0.00102786,0.00102788,-0.00945198,-0.00813076,-0.00558688,-0.00267527,-6.30693e-06,0.00268117,0.00549189,0.00787676,0.00917367,5.6027e-06,0.00273365,0.00273365,-0.0303388,-0.0258759,-0.0172345,-0.00852068,-0.000120517,0.00833354,0.017701,0.025051,0.0280751,-5.35089e-05,0.0085378,0.00853797,-0.0311708,-0.0266921,-0.0173237,-0.00875185,-0.000153232,0.00855871,0.0181519,0.0259895,0.0291254,-5.66252e-05,0.0087304,0.00873059,1.09651,1.0965,1.84548,1.8455,1.91003,1.91004,3.69577,12
184928,117006,27370,0.0831147,0.198795,-0.00392246,-0.00353751,-0.00231014,-0.00117398,-8.42916e-06,0.00115363,0.00233869,0.00329631,0.00371453,-1.25509e-05,0.00116877,0.00116884,-0.00493177,-0.00455574,-0.00306183,-0.00149648,1.22287e-05,0.00154994,0.00314696,0.00466981,0.00571923,2.20431e-05,0.00154618,0.00154633,-0.01981,-0.0167233,-0.0112245,-0.00585642,-2.65078e-05,0.0055909,0.0113837,0.0171328,0.0190465,-5.16502e-05,0.00566128,0.00566151,-0.0209121,-0.0180437,-0.01219,-0.0061988,-9.09597e-05,0.00609195,0.012299,0.0186218,0.0209716,-4.50601e-05,0.00613979,0.00613996,-0.00324293,-0.00251988,-0.0017313,-0.000933642,-9.79567e-06,0.000918236,0.0018082,0.00271836,0.00342363,-2.4893e-06,0.00090415,0.000904154,-0.0035047,-0.00306045,-0.00222704,-0.00109064,4.15638e-05,0.00115668,0.00225811,0.00314062,0.00363971,3.76934e-05,0.00110987,0.00111051,-0.01411,-0.0105775,-0.00734914,-0.0036341,-0.000188739,0.00341523,0.00716732,0.0107465,0.0166235,-0.000114242,0.00360807,0.00360988,-0.0155218,-0.0114216,-0.00755506,-0.00390682,-0.000157359,0.00369816,0.00755386,0.0114796,0.0177109,-0.000115732,0.00383513,0.00383688,1.29268,1.29275,1.39311,1.39245,1.56906,1.56834,3.21752,7
17149,2540,1530,0.0721052,0.829405,-0.00323742,-0.00271162,-0.00173273,-0.000832323,1.31819e-05,0.000850237,0.00164383,0.00247736,0.00280079,-8.60775e-07,0.000844699,0.0008447,-0.00990262,-0.00848701,-0.00576823,-0.00277118,8.81734e-06,0.00275582,0.00522268,0.00758045,0.00882057,-1.82006e-05,0.00275395,0.00275401,-0.0153652,-0.0117368,-0.00810026,-0.00446087,5.20318e-06,0.00425337,0.00905482,0.0131724,0.0151063,4.06065e-06,0.00431792,0.00431793,-0.0159796,-0.012326,-0.00896333,-0.00472469,-5.90201e-05,0.00462663,0.00986506,0.0144726,0.0171738,8.43688e-06,0.00466336,0.00466336,-0.0032389,-0.0024621,-0.00155905,-0.000770093,-2.11826e-05,0.000744557,0.00153257,0.00225703,0.00261163,-1.32041e-05,0.000768397,0.000768511,-0.00709096,-0.00621191,-0.00407065,-0.00199373,-4.45296e-05,0.00186769,0.00354301,0.00485508,0.00562038,-7.22982e-05,0.00191973,0.00192109,-0.0115931,-0.00844572,-0.00571434,-0.00287149,1.5977e-05,0.00319205,0.00622495,0.0100517,0.0126187,9.11937e-05,0.00299768,0.00299906,-0.0121345,-0.00899684,-0.00605341,-0.00308059,4.21385e-05,0.00335447,0.00648486,0.0105869,0.013788,0.000104744,0.00319097,0.00319269,1.0993,1.09914,1.43456,1.43357,1.44042,1.43976,3.41074,11
19279012,2939988,873249,0.0378157,0.816739,-0.00477463,-0.00332541,-0.00231643,-0.00117981,-1.33577e-05,0.00110329,0.00224419,0.0035697,0.00460694,-3.1337e-05,0.00115286,0.00115329,-0.0148222,-0.0118461,-0.00774784,-0.00393707,4.68825e-05,0.00376137,0.00771094,0.0115834,0.0125152,-3.78989e-05,0.00387502,0.0038752,-0.0418582,-0.0352184,-0.024773,-0.0125073,-0.000275173,0.0129795,0.0254482,0.0408763,0.0444668,1.72307e-05,0.0126657,0.0126657,-0.0435264,-0.0369859,-0.0256971,-0.0129441,-0.000178674,0.0134629,0.0264239,0.0424173,0.0470778,5.44656e-05,0.0131642,0.0131644,-0.00331419,-0.00306624,-0.00208982,-0.00105022,-4.77356e-06,0.000965006,0.00201531,0.00314646,0.00355007,-2.06027e-05,0.00101317,0.00101338,-0.00706586,-0.00624152,-0.00435179,-0.00215488,1.84266e-05,0.00220342,0.00443947,0.00618615,0.00690283,2.12638e-05,0.00218537,0.00218547,-0.0214878,-0.0201023,-0.0139824,-0.00719563,-0.000160196,0.0067694,0.013328,0.0217136,0.0276286,-0.000181509,0.00687633,0.00687873,-0.0215333,-0.0199685,-0.0142518,-0.00730007,-4.84967e-05,0.00697538,0.013714,0.0225641,0.029418,-0.000158382,0.00707864,0.00708041,1.13787,1.13806,1.77316,1.77316,1.84192,1.84128,3.67987,13
1602292,23812,2277,0.00139832,1.82795,-0.00255512,-0.00232013,-0.00156126,-0.000776733,-4.59589e-06,0.000733559,0.00159681,0.00242323,0.00266704,-1.30006e-05,0.000773118,0.000773227,-0.0383136,-0.0306146,-0.0189161,-0.0100313,-0.000334062,0.00946186,0.0201325,0.02957,0.0330501,-0.000203392,0.00979714,0.00979925,-0.34191,-0.308331,-0.208456,-0.0967073,0.00296255,0.105092,0.198627,0.316249,0.409647,0.00205701,0.102028,0.102049,-0.342338,-0.308517,-0.208959,-0.0970667,0.00328257,0.105349,0.199652,0.31673,0.41014,0.00208342,0.102159,0.10218,-0.00255634,-0.00229798,-0.0015567,-0.000779371,-4.44584e-06,0.000732499,0.00158281,0.00228735,0.00287337,-1.08625e-05,0.000764554,0.000764631,-0.0156359,-0.0146495,-0.00966747,-0.00476495,-6.40776e-05,0.00458293,0.0094306,0.0147097,0.0167433,-6.54403e-05,0.00472717,0.00472762,-0.17541,-0.1429,-0.0949943,-0.0480201,0.00103601,0.0483621,0.0988106,0.151075,0.16536,0.00062418,0.0486763,0.0486803,-0.175605,-0.143719,-0.0953748,-0.0479535,0.00091241,0.0483573,0.0988201,0.151488,0.166946,0.000638273,0.0487392,0.0487434,1.0112,1.01124,2.07252,2.07277,2.09605,2.0963,5.07291,53
99786,1923,2805,0.0268385,1.71509,-0.00326671,-0.00200694,-0.00147301,-0.000753776,1.67691e-06,0.000708508,0.00147813,0.00225598,0.00254475,-1.34391e-05,0.000738388,0.00073851,-0.0273173,-0.0236001,-0.015084,-0.00726603,-4.68438e-05,0.00708328,0.0139635,0.0223742,0.0257167,-0.000144112,0.00728592,0.00728734,-0.0178095,-0.0151185,-0.00959519,-0.0046996,-7.01836e-05,0.00496691,0.010548,0.0155317,0.0193102,0.000111479,0.00498556,0.0049868,-0.0185086,-0.0153716,-0.00991825,-0.00495314,-1.97053e-05,0.00522137,0.0109099,0.0157209,0.02034,0.000125105,0.00515966,0.00516117,-0.00303008,-0.00197757,-0.00145224,-0.000746338,-3.31175e-06,0.00069877,0.0014196,0.00219253,0.00253664,-1.33946e-05,0.000722922,0.000723046,-0.0199941,-0.0178824,-0.010819,-0.00536045,-0.000217207,0.00538352,0.0109239,0.016454,0.0191367,-0.000136508,0.00539183,0.00539356,-0.0134988,-0.0113643,-0.00739665,-0.0036193,0.000117454,0.00372431,0.00753947,0.0123471,0.0141953,0.000104744,0.00372686,0.00372833,-0.0131457,-0.0123674,-0.00758594,-0.00378716,0.000195974,0.00384152,0.0077997,0.0121859,0.0145107,0.000117904,0.00384036,0.00384217,1.02139,1.02139,1.35129,1.35112,1.33774,1.33754,3.64266,33
61756895,744726,974256,0.0153484,1.91869,-0.00338373,-0.00301542,-0.00209212,-0.00101591,5.89047e-06,0.00103368,0.00205217,0.0030145,0.00375282,7.71121e-06,0.00102192,0.00102195,-0.0436313,-0.0385871,-0.0265382,-0.0130573,0.000208995,0.0135871,0.026741,0.0410607,0.0550619,0.000102027,0.0133469,0.0133473,-0.0415093,-0.0321307,-0.0204139,-0.0104153,-0.000144556,0.0101546,0.0206858,0.0295422,0.0320786,-9.80015e-05,0.0102177,0.0102182,-0.0418807,-0.0317754,-0.0211281,-0.0105763,-5.81588e-05,0.0103981,0.0208635,0.0301004,0.0331244,-0.000102651,0.0104162,0.0104167,-0.00326354,-0.00285878,-0.00205371,-0.000988632,2.03895e-05,0.00101504,0.00206107,0.0029595,0.00369466,1.16574e-05,0.00100746,0.00100753,-0.0302193,-0.0270664,-0.0180492,-0.00877959,0.000309931,0.00918633,0.0179948,0.0262428,0.0312111,0.000130717,0.00899005,0.008991,-0.0217399,-0.0205286,-0.0139956,-0.00696317,-0.000181009,0.00678552,0.0138121,0.0201727,0.0262184,-0.000122346,0.00688103,0.00688212,-0.0226312,-0.0206319,-0.0144826,-0.00709317,-0.000219879,0.00686538,0.01419,0.0208028,0.0260456,-0.00013195,0.00701226,0.0070135,1.01435,1.01431,1.48463,1.48452,1.48491,1.48474,3.89229,18
134200029,11958008,15335333,0.0949595,1.05009,-0.00402263,-0.003674,-0.0023925,-0.00123751,-1.23006e-05,0.00128944,0.00244688,0.0041143,0.00466521,1.89855e-05,0.00124141,0.00124156,-0.0178378,-0.0151371,-0.0102587,-0.00518838,-0.000165693,0.00514409,0.010191,0.015885,0.0189136,-5.42071e-05,0.00513489,0.00513518,-0.0142013,-0.0120289,-0.00825079,-0.00390407,1.58793e-05,0.00410438,0.00780233,0.0112887,0.0138061,3.21492e-05,0.0040096,0.00400973,-0.0156285,-0.0135511,-0.00903032,-0.0043107,1.48869e-05,0.00455985,0.00860337,0.0127655,0.0160395,1.96256e-05,0.00442336,0.00442341,-0.00422813,-0.0035965,-0.00227349,-0.00111663,1.36539e-05,0.00115627,0.00228283,0.00359612,0.00420547,2.09743e-05,0.00114058,0.00114077,-0.0147696,-0.0107364,-0.00712721,-0.00365541,-5.48076e-05,0.00364346,0.00726948,0.0104458,0.0117209,-1.32153e-05,0.00358658,0.0035866,-0.0112263,-0.00828952,-0.00564746,-0.00289274,2.80939e-05,0.00288211,0.00565758,0.00818394,0.00892209,7.97234e-07,0.00284397,0.00284397,-0.0113637,-0.00927532,-0.00615069,-0.00314026,-1.48047e-05,0.00308044,0.00591466,0.00914145,0.00969037,-1.47009e-05,0.00303652,0.00303656,1.08841,1.08835,1.4317,1.43177,1.40986,1.40991,3.10891,8
